memo,sim1,sim2,sim3,sim4,simp,vendors,ext1,accuracy,ext2,accuracy,ext3,accuracy,ext4,accuracy,failed,output,accuracy
11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA CA Debit Card,11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA,11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA CA Debit Card,PANINI KABOB GRI SANTA MON PANINI KABOB GRI SANTA MONICA CA Debit Card,X,PANINI KABOB GRI SANTA MON PANINI KABOB GRI SANTA MONICA,panini kabob,X,0.0,PANINI KABOB GRI SANTA ,0.6857142857142857,X,0.0,X,0.0,extracted,PANINI KABOB GRI SANTA ,0.6857142857142857
11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA CA Debit Card,11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA,11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA CA Debit Card,TUESDAY MORNING SANTA MONI TUESDAY MORNING SANTA MONICA CA Debit Card,X,TUESDAY MORNING SANTA MONI TUESDAY MORNING SANTA MONICA,tuesday morning santa monica,X,0.0,TUESDAY MORNING SANTA ,0.88,X,0.0,X,0.0,extracted,TUESDAY MORNING SANTA ,0.88
11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA CA Debit Card,11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA,11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA CA Debit Card,FATHER'S OFFICE- SANTA MON FATHER'S OFFICE- SANTA MONICA CA Debit Card,X,FATHER'S OFFICE- SANTA MON FATHER'S OFFICE- SANTA MONICA,"""father's office""",X,0.0,FATHER'S OFFICE- SANTA ,0.75,X,0.0,X,0.0,extracted,FATHER'S OFFICE- SANTA ,0.75
11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA CA Debit Card,11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA,11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA CA Debit Card,WAHOO'S FISH TAC SANTA MON WAHOO'S FISH TAC SANTA MONICA CA Debit Card,X,WAHOO'S FISH TAC SANTA MON WAHOO'S FISH TAC SANTA MONICA,"""wahoo's fish tacos""",X,0.0,WAHOO'S FISH TAC SANTA ,0.7906976744186046,X,0.0,X,0.0,extracted,WAHOO'S FISH TAC SANTA ,0.7906976744186046
11/07 DUC LOI SUPERMAR SAN FRANCISCOCA Debit Card,11/07 DUC LOI SUPERMAR SAN FRANCISCOCA ,11/07 DUC LOI SUPERMAR SAN FRANCISCOCA Debit Card,DUC LOI SUPERMAR SAN FRANCISCOCA Debit Card,X,DUC LOI SUPERMAR SAN FRANCISCOCA ,duc loi supermarket,X,0.0,X,0.0,X,0.0,X,0.0,extracted,X,0.0
11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES CA Debit Card,11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES,11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES CA Debit Card,KULA REVOLVING S LOS ANGEL KULA REVOLVING S LOS ANGELES CA Debit Card,X,KULA REVOLVING S LOS ANGEL KULA REVOLVING S LOS ANGELES,kula revolving,X,0.0,KULA REVOLVING S LOS ,0.8,X,0.0,X,0.0,X,KULA REVOLVING S LOS ,0.8
11/08 LAWDEPOT.COM 8775094398 AB Debit Card,11/08 LAWDEPOT.COM 8775094398 AB ,X,LAWDEPOT.COM 8775094398 AB Debit Card,X,LAWDEPOT.COM 8775094398 AB ,lawdepot.com,X,0.0,X,0.0,LAWDEPOT.COM  AB,0.8571428571428571,X,0.0,extracted,LAWDEPOT.COM  AB,0.8571428571428571
11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA CA Debit Card,11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA,11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA CA Debit Card,THE BRITANNIA SANTA MONICA THE BRITANNIA SANTA MONICA CA Debit Card,X,THE BRITANNIA SANTA MONICA THE BRITANNIA SANTA MONICA,the britannia,X,0.0,THE BRITANNIA SANTA MONICA ,0.65,X,0.0,X,0.0,extracted,THE BRITANNIA SANTA MONICA ,0.65
11/10 FUNNEL MILL SANTA MONIC CA 11/10 FUNNEL MILL SANTA MONIC CA Debit Card,11/10 FUNNEL MILL SANTA MONIC11/10 FUNNEL MILL SANTA MONIC,11/10 FUNNEL MILL SANTA MONIC CA 11/10 FUNNEL MILL SANTA MONIC CA Debit Card,FUNNEL MILL SANTA MONIC CA FUNNEL MILL SANTA MONIC CA Debit Card,X,FUNNEL MILL SANTA MONICFUNNEL MILL SANTA MONIC,funnel mill,X,0.0,MILL SANTA ,0.36363636363636365,X,0.0,X,0.0,extracted,MILL SANTA ,0.36363636363636365
11/10 MERCADO SANTA MONICA CA De 11/10 MERCADO SANTA MONICA CA Debit Card,11/10 MERCADO SANTA MONICADe 11/10 MERCADO SANTA MONICA,11/10 MERCADO SANTA MONICA CA De 11/10 MERCADO SANTA MONICA CA Debit Card,MERCADO SANTA MONICA CA De MERCADO SANTA MONICA CA Debit Card,X,MERCADO SANTA MONICADe MERCADO SANTA MONICA,mercado santa monica,X,0.0,MERCADO SANTA ,0.8235294117647058,X,0.0,X,0.0,extracted,MERCADO SANTA ,0.8235294117647058
11/10 TIERRA MIA COFFE OAKLAND CA Debit Card,11/10 TIERRA MIA COFFE OAKLAND,11/10 TIERRA MIA COFFE OAKLAND CA Debit Card,TIERRA MIA COFFE OAKLAND CA Debit Card,X,TIERRA MIA COFFE OAKLAND,tierra mia coffee,X,0.0,X,0.0,X,0.0,X,0.0,extracted,X,0.0
11/12 TOWNHOUSE VENICE CA Debit 11/12 TOWNHOUSE VENICE CA Debit Card,11/12 TOWNHOUSE VENICE 11/12 TOWNHOUSE VENICE,11/12 TOWNHOUSE VENICE CA Debit 11/12 TOWNHOUSE VENICE CA Debit Card,TOWNHOUSE VENICE CA Debit TOWNHOUSE VENICE CA Debit Card,X,TOWNHOUSE VENICE TOWNHOUSE VENICE,townhouse venice,X,0.0,TOWNHOUSE VENICE ,0.9696969696969697,X,0.0,X,0.0,X,TOWNHOUSE VENICE ,0.9696969696969697
11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES CA Debit Card,11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES,11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES CA Debit Card,MOMS BAR & LOUNG LOS ANGEL MOMS BAR & LOUNG LOS ANGELES CA Debit Card,X,MOMS BAR & LOUNG LOS ANGEL MOMS BAR & LOUNG LOS ANGELES,moms bar & lounge,X,0.0,MOMS BAR & LOUNG LOS ,0.8421052631578947,X,0.0,X,0.0,extracted,MOMS BAR & LOUNG LOS ,0.8421052631578947
11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA CA Debit Card,11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA,11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA CA Debit Card,TOCAYA SANTA MON SANTA MON TOCAYA SANTA MON SANTA MONICA CA Debit Card,X,TOCAYA SANTA MON SANTA MON TOCAYA SANTA MON SANTA MONICA,tocaya santa monica,X,0.0,SANTA MON TOCAYA SANTA MON SANTA ,0.6538461538461539,X,0.0,X,0.0,extracted,SANTA MON TOCAYA SANTA MON SANTA ,0.6538461538461539
11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE CA Debit Card,11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE,11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE CA Debit Card,TWC*TIME WARNER 888-TWCABL TWC*TIME WARNER 888-TWCABLE CA Debit Card,X,TWC*TIME WARNER 888-TWCABL TWC*TIME WARNER 888-TWCABLE,time warner cable,X,0.0,TWC*TIME WARNER ,0.7272727272727273,X,0.0,X,0.0,extracted,TWC*TIME WARNER ,0.7272727272727273
11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA CA Debit Card,11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA,11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA CA Debit Card,MENDOCINO FARMS SANTA MONI MENDOCINO FARMS SANTA MONICA CA Debit Card,X,MENDOCINO FARMS SANTA MONI MENDOCINO FARMS SANTA MONICA,mendocino farms,X,0.0,MENDOCINO FARMS SANTA ,0.8108108108108109,X,0.0,X,0.0,extracted,MENDOCINO FARMS SANTA ,0.8108108108108109
11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA CA Debit Card,11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA,11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA CA Debit Card,SWEETFIN POKE S. SANTA MON SWEETFIN POKE S. SANTA MONICA CA Debit Card,X,SWEETFIN POKE S. SANTA MON SWEETFIN POKE S. SANTA MONICA,sweetfin poke,X,0.0,SWEETFIN POKE S. SANTA ,0.7222222222222222,X,0.0,X,0.0,extracted,SWEETFIN POKE S. SANTA ,0.7222222222222222
11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA CA Debit Card,11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA,11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA CA Debit Card,TST* SPINFISH PO SANTA MON TST* SPINFISH PO SANTA MONICA CA Debit Card,X,TST* SPINFISH PO SANTA MON TST* SPINFISH PO SANTA MONICA,spinefish poke,X,0.0,TST* SPINFISH PO SANTA ,0.5945945945945946,X,0.0,X,0.0,extracted,TST* SPINFISH PO SANTA ,0.5945945945945946
11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES CA Debit Card,11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES,11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES CA Debit Card,SEOUL HOUSE OF T LOS ANGEL SEOUL HOUSE OF T LOS ANGELES CA Debit Card,X,SEOUL HOUSE OF T LOS ANGEL SEOUL HOUSE OF T LOS ANGELES,seoul house of tofu,X,0.0,SEOUL HOUSE OF T LOS ,0.85,X,0.0,X,0.0,extracted,SEOUL HOUSE OF T LOS ,0.85
11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES CA Debit Card,11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES,11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES CA Debit Card,KULA REVOLVING S LOS ANGEL KULA REVOLVING S LOS ANGELES CA Debit Card,X,KULA REVOLVING S LOS ANGEL KULA REVOLVING S LOS ANGELES,kula revolving,X,0.0,KULA REVOLVING S LOS ,0.8,X,0.0,X,0.0,extracted,KULA REVOLVING S LOS ,0.8
11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA CA Debit Card,11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA,11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA CA Debit Card,SQ *SIDECAR DOUG SANTA MON SQ *SIDECAR DOUG SANTA MONICA CA Debit Card,X,SQ *SIDECAR DOUG SANTA MON SQ *SIDECAR DOUG SANTA MONICA,sidecar doug,X,0.0,SQ *SIDECAR DOUG SANTA ,0.6857142857142857,X,0.0,X,0.0,extracted,SQ *SIDECAR DOUG SANTA ,0.6857142857142857
11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA CA Debit Card,11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA,11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA CA Debit Card,WARSZAWA POLISH SANTA MONI WARSZAWA POLISH SANTA MONICA CA Debit Card,X,WARSZAWA POLISH SANTA MONI WARSZAWA POLISH SANTA MONICA,warszawa polish,X,0.0,WARSZAWA POLISH SANTA ,0.8108108108108109,X,0.0,X,0.0,extracted,WARSZAWA POLISH SANTA ,0.8108108108108109
11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA ,11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,GOBBLE.COM MEALS HTTPSGOBB GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,X,GOBBLE.COM MEALS HTTPSGOBB GOBBLE.COM MEALS HTTPSGOBBLE.CCA ,"gobble, inc",X,0.0,GOBBLE.COM MEALS ,0.5,X,0.0,X,0.0,extracted,GOBBLE.COM MEALS ,0.5
11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES CA Debit Card,11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES,11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES CA Debit Card,OOKOOK KOREAN BB LOS ANGEL OOKOOK KOREAN BB LOS ANGELES CA Debit Card,X,OOKOOK KOREAN BB LOS ANGEL OOKOOK KOREAN BB LOS ANGELES,ookook korean bbq,X,0.0,OOKOOK KOREAN BB LOS ,0.8421052631578947,X,0.0,X,0.0,extracted,OOKOOK KOREAN BB LOS ,0.8421052631578947
11/25 PAYPAL *MONOTYPE 35314369001 DE Debit Card,11/25 *MONOTYPE 35314369001 DE ,X,PAYPAL *MONOTYPE 35314369001 DE Debit Card,X, *MONOTYPE 35314369001 DE ,monotype,X,0.0,X,0.0,*MONOTYPE  DE,0.7619047619047619,X,0.0,extracted,*MONOTYPE  DE,0.7619047619047619
11/26 TST* BIG DADDY'S VENICE CA 11/26 TST* BIG DADDY'S VENICE CA Debit Card,11/26 TST* BIG DADDY'S VENICE11/26 TST* BIG DADDY'S VENICE,11/26 TST* BIG DADDY'S VENICE CA 11/26 TST* BIG DADDY'S VENICE CA Debit Card,TST* BIG DADDY'S VENICE CA TST* BIG DADDY'S VENICE CA Debit Card,X,TST* BIG DADDY'S VENICETST* BIG DADDY'S VENICE,"""big daddy's""",X,0.0,BIG DADDY'S ,0.88,X,0.0,X,0.0,extracted,BIG DADDY'S ,0.88
11/30 JINYA RAMEN SANTA MONICA CA Debit Card,11/30 JINYA RAMEN SANTA MONICA,11/30 JINYA RAMEN SANTA MONICA CA Debit Card,JINYA RAMEN SANTA MONICA CA Debit Card,X,JINYA RAMEN SANTA MONICA,jinya ramen,X,0.0,X,0.0,X,0.0,X,0.0,extracted,X,0.0
1114 6TH STREET SANTA MONICA LLC 1114 6TH STREET SANTA MONICA LLC Cashier Check Purchase,1114 6TH STREET SANTA MONICA LLC 1114 6TH STREET SANTA MONICA LLC ,1114 STREET SANTA MONICA LLC 1114 STREET SANTA MONICA LLC Cashier Check Purchase,X,X,1114 STREET SANTA MONICA LLC 1114 STREET SANTA MONICA LLC ,williams real estate,X,0.0,1114 STREET SANTA MONICA LLC ,0.16326530612244897,X,0.0,1114 STREET SANTA MONICA,0.2727272727272727,X,1114 STREET SANTA MONICA,0.2727272727272727
266898714 04109315410 MD 266898714 04109315410 MD Ref55446419J2D Crd0653 Dt11/02,266898714 04109315410 MD 266898714 04109315410 MD 55446419J2D 0653 Dt11/02,X,266898714 04109315410 MD 266898714 04109315410 MD J2D,X,266898714 04109315410 MD 266898714 04109315410 MD J2D,ikea,X,0.0,266898714 04109315410 MD ,0.0,X,0.0,X,0.0,extracted,266898714 04109315410 MD ,0.0
4010 BOSE CORP WEB S8009992673 WH03801139 800-999-2673,X,4010 BOSE CORP WEB,X,X,4010 BOSE CORP WEB,bose,X,0.0,X,0.0,X,0.0,X,0.0,extracted,X,0.0
41453182 SHOPIFY.COMELK GROVE V OPSNT_BN0QT 8887467439,X,SHOPIFY.COMELK GROVE V OPS,X,X,SHOPIFY.COMELK GROVE V OPS,shopify,X,0.0,X,0.0,X,0.0,X,0.0,X,X,0.0
ABACUS LABS INC-EXPENSE ACH Debit,ABACUS LABS INC-EXPENSE ACH ,ABACUS LABS INC-EXPENSE ACH Debit,X,X,ABACUS LABS INC-EXPENSE ACH ,abacus labs,X,0.0,X,0.0,X,0.0,X,0.0,X,X,0.0
ABACUS LABS INC-EXPENSE ACH Debit,ABACUS LABS INC-EXPENSE ACH ,ABACUS LABS INC-EXPENSE ACH Debit,X,X,ABACUS LABS INC-EXPENSE ACH ,abacus transfer,X,0.0,X,0.0,X,0.0,X,0.0,X,X,0.0
ABC LOCKSMITH CO GOSSan Francis JGRCQ2 squareup.com/receipts,X,ABC LOCKSMITH CO GOSSan Francis squareup.com/receipts,X,X,ABC LOCKSMITH CO GOSSan Francis squareup.com/receipts,abc locksmith,X,0.0,X,0.0,X,0.0,ABC LOCKSMITH,1.0,X,ABC LOCKSMITH,1.0
AIR INDIA LIMITED AIR INDIA LIMITED 309 II Ref7510517A200 Crd7367 Dt11/17,AIR INDIA LIMITED AIR INDIA LIMITED 309 II 7510517A200 7367 Dt11/17,X,AIR INDIA LIMITED AIR INDIA LIMITED 309 II A200,X,AIR INDIA LIMITED AIR INDIA LIMITED 309 II,air india,X,0.0,AIR INDIA LIMITED ,0.6666666666666666,X,0.0,AIR INDIA,1.0,extracted,AIR INDIA,1.0
Air Solutions LLC 03FREMONT CA 73011007314 HEATING/PLUMBING/AC,Air Solutions LLC 03FREMONT73011007314 HEATING/PLUMBING/AC,Air Solutions,X,X,Air Solutions,air solutions llc,X,0.0,X,0.0,Air Solutions,0.8666666666666667,X,0.0,extracted,Air Solutions,0.8666666666666667
ALOFT HOTELS N ORLEANS,X,ALOFT HOTELS N ORLEANS,X,X,ALOFT HOTELS N ORLEANS,aloft hotels,X,0.0,X,0.0,X,0.0,X,0.0,extracted,X,0.0
ALTERNATIVE APPAREL SAN FRANCIS 4154005011,ALTERNATIVE APPAREL4154005011,ALTERNATIVE APPAREL SAN FRANCIS,X,X,ALTERNATIVE APPAREL SAN FRANCIS,alternative apparel,X,0.0,X,0.0,X,0.0,X,0.0,X,X,0.0
"AMERICAN GIANT, IN AMERICAN GIANT, IN SAN FRANCISCO CA Ref25536069L2Z Crd6153 Dt11/03","AMERICAN GIANT, IN AMERICAN GIANT, INCA 25536069L2Z 6153 Dt11/03","AMERICAN GIANT, IN AMERICAN GIANT, IN SAN FRANCIS","AMERICAN GIANT, IN AMERICAN GIANT, IN SAN FRANCISCO CA L2Z",X,"AMERICAN GIANT, IN AMERICAN GIANT, INCA",american giant,X,0.0,"AMERICAN GIANT, ",0.9333333333333333,X,0.0,X,0.0,X,"AMERICAN GIANT, ",0.9333333333333333
"AMERICAN GIANT, IN AMERICAN GIANT, IN SAN FRANCISCO CA Ref2553606A22Z Crd6153 Dt11/17","AMERICAN GIANT, IN AMERICAN GIANT, INCA 2553606A22Z 6153 Dt11/17","AMERICAN GIANT, IN AMERICAN GIANT, IN SAN FRANCIS","AMERICAN GIANT, IN AMERICAN GIANT, IN SAN FRANCISCO CA A22Z",X,"AMERICAN GIANT, IN AMERICAN GIANT, INCA",american giant,X,0.0,"AMERICAN GIANT, ",0.9333333333333333,X,0.0,X,0.0,extracted,"AMERICAN GIANT, ",0.9333333333333333
"AMIRHOSSEIN DAVOODY SENDER BNK:=SIL VLY BK SCLA; SENDER ID:=121140399; SENDER REF:=20173240249200; ORG ID:=3302154126; ORG:=DEEPLEARNING.AI LLC; ORG ADDRESS:=1611 SHIRLEY AVELOS ALTOS, CA 94024; BNF ID:=0389455202; BNF NAME:=AMIRHOSSEIN DAVOODY; BNF ADDRESS:=812 EAGLE HEIGHT","AMIRHOSSEIN DAVOODY SENDER BNK:=SIL VLY BK SCLA; SENDER ID:=121140399; SENDER :=20173240249200; ORG ID:=3302154126; ORG:=DEEPLEARNING.AI LLC; ORG ADDRESS:=1611 SHIRLEY AVELOS ALTOS,94024; BNF ID:=0389455202; BNF NAME:=AMIRHOSSEIN DAVOODY; BNF ADDRESS:=812 EAGLE HEIGHT",AMIRHOSSEIN DAVOODY SENDER BNK:=SIL VLY BK SCLA; S S SS:=1611 SHIRLEY AVELOS ALTOS SSEIN DAVOODY; BNF ADDRESS:=812 EAGLE HEIGHT,"AMIRHOSSEIN DAVOODY SENDER BNK:=SIL VLY BK SCLA; SENDER ID:=121140399; SENDER :=20173240249200; ORG ID:=3302154126; ORG:=DEEPLEARNING.AI LLC; ORG ADDRESS:=1611 SHIRLEY AVELOS ALTOS, CA 94024; BNF ID:=0389455202; BNF NAME:=AMIRHOSSEIN DAVOODY; BNF ADDRESS:=812 EAGLE HEIGHT",X,AMIRHOSSEIN DAVOODY SENDER BNK:=SIL VLY BK SCLA; S S SS:=1611 SHIRLEY AVELOS ALTOS SSEIN DAVOODY; BNF ADDRESS:=812 EAGLE HEIGHT,amirhossein davoody,X,0.0,S ,0.19047619047619047,X,0.0,X,0.0,extracted,S ,0.19047619047619047
